Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Louisburg (II),Royal Canadian Navy,Flower modified,K,1015,13 December 1943,25 June 1945
Louisville,USA,Northampton,CA,9200,15 January 1931,scrapped 1959
Loyal,ENG,L,DD,1920,31 October 1942,"constructive loss 12 October 1944, scrapped 1948"
Luchs,GER,Raubtier,torpedo boat,1320,15 April 1929,sunk 26 July 1940
Lucknow,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Ludlow,USA,Gleaves,DD,1630,5 March 1941,"to Greece 1951, scrapped 1972"
Luigi Cadorna,Regia Marina,Condottieri,CL,5316,11 August 1933,scrapped 1951
Luigi Di Savoia Duca Degli Abruzzi,Regia Marina,Condottieri,CL,9952,1 December 1937,scrapped 1972
Lunenburg,Royal Canadian Navy,Flower,K,925,4 December 1941,paid off 23 July 1945
Lunga Point,USA,Casablanca,CVE,7800,14 May 1944,"decommissioned 24 October 1946, scrapped 1960"
Lützow,GER,enlarged Admiral Hipper,CA,14680,not completed,"sold to USSR 1940 became Petropavlovsk, then Tallinn"
