Class,Type,Displacement,Country
Type C2,SS,3621,JPN
Type C3,transport submarine,3644,JPN
Type C3,SS,3644,JPN
Type B3,submarine aircraft carrier,3747,JPN
KD3 type,cruiser submarine,2300,JPN
KD4 type,cruiser submarine,2300,JPN
KD6 type,cruiser submarine,2440,JPN
Kiraisen type,minelayer submarine,1768,JPN
KD2 type,training submarine,2500,JPN
KD3A type,SS,2300,JPN
KD3B type,SS,2300,JPN
KD4 type,SS,2300,JPN
KD5 type,SS,2330,JPN
KD7 type,cruiser submarine,2602,JPN
Sentaka type,SS,1479,JPN
Senho type,submarine tanker,4290,JPN
Type D1,transport submarine/kaiten carrier,2215,JPN
Type D1,transport submarine,2215,JPN
Type D2,transport/tanker submarine,2240,JPN
Sentoku type,submarine aircraft carrier,6560,JPN
Sentoku type,submarine tanker,6560,JPN
Type IXD2,SS,1771,JPN
Marcello-class,SS,1313,JPN
Marconi-class,SS,1400,JPN
Type X,minelayer submarine,2143,JPN
Type IXD1,SS,1771,JPN
I,minelayer destroyer,1370,ENG
Illustrious,CV,23000,ENG
Väinämöinen,coastal defence ship,3900,Finland
Implacable,CV,23825,ENG
South Dakota,BB,35000,USA
Portland,CA,9800,USA
Grimsby,SL,1210,Royal Indian Navy
Ingolf,PB,1180,Royal Danish Navy
Investigator,survey ship,1572,Indian Navy
Irene Forsyte,Q-ship,283,USA
Tribal,DD,2020,Royal Canadian Navy
Gerard Callenburgh,DD,1606,Royal Netherlands Navy
Ise,dreadnought,36000,JPN
Izumo,armored cruiser,9750,JPN
H,SS,518,ENG
Ha-101,transport submarine,493,JPN
Ha-201,SS,440,JPN
Myoko,CA,13300,JPN
Hai Chao,SL,1250,Republic of China Navy
gunship,,2680,Republic of China Navy
Hai Chi,C,4300,Republic of China Navy
Hai Yung,protected cruiser,2680,Republic of China Navy
Town,DD,1060,Royal Navy  Royal Canadian Navy
Hansa,MC,9138,Nazi Germany
Gato,SS,"1,525 surfaced",USA
H,DD,1455,ENG
V,DD,1710,ENG
Kongō,battlecruiser,31660,JPN
Havant,DD,1340,ENG
H,DD,1350,ENG
Hekla,light cruiser hulk,1322,Royal Danish Navy
St. Louis,CL,10000,USA
Hermes,CV,10850,ENG
H,DD,1350,Royal Navy  Royal Canadian Navy
Folkestone,SL,1045,Royal Indian Navy
Sōryū,CV,17300,JPN
Hiyō,CV,24140,JPN
modified Leander,CL,6980,Royal Australian Navy
Fletcher,DD,2100,USA
Brooklyn,CL,9650,USA
Admiral,battlecruiser,42100,ENG
Yorktown,CV,26500,USA
Hōshō,CV,7470,JPN
Cannon,DE,1240,Free French Naval Forces
Huáscar,ironclad,1870,CHL
Humaytá,SS,1440,Brazil
Hunt,DD,1050,Royal Navy  Hellenic Navy
Hvidbjørnen,PB,1050,Royal Danish Navy
Flower,K,925,Royal Navy  Hellenic Navy
Serrano,DD,1090,CHL
Kountouriotis,DD,1350,Hellenic Navy
Ise,BB,36000,JPN
L,SS,,
L,training submarine,,
La Argentina,training light cruiser,,
Flower,K,,
La Galissonnière,CL,,
River,FF,,
Mendoza,DD,,
Flower modified,K,,
Benson,DD,,
Sumner,DD,,
L,DD,,
Battle,DD,,
Basset,AM,,
Ticonderoga,CV,,
Wickes,DAM,,
Lambridge,Special Service Ship,,
Hunt,DD,,
Duguay-Trouin,CL,,
Mahan,DD,,
Benham,DD,,
Langley,Seaplane carrier,,
Independence,CVL,,
Gleaves,DD,,
Abdiel,CM,,
Captain,FF,,
Lawrence,SL,,
Town,DD,,
Leander,CL,,
Leipzig,CL,,
Leningrad,DD,,
Aetos,DD,,
Raubtier,torpedo boat,,
Chacal,DD,,
Lexington,CV,,
Essex,CV,,
Libertad,riverine battleship,,
Casablanca,CVE,,
Littorio,BB,,
Loch,FF,,
County,CA,,
Long Island,CVE,,
Looe,Special Service Ship,,
PB,,,
Bretagne,BB,,
Baltimore,CA,,
Lothringen,CM,,
Northampton,CA,,
Condottieri,CL,,
enlarged Admiral Hipper,CA,,
Farragut,DD,,
Rapana,merchant aircraft carrier,,
Bathurst,K,,
M,DD,,
El Mahrousa,yacht,,
Queen Elizabeth,BB,,
Äran,coastal defence ship,,
Tribal,DD,,
Pegasus,fighter catapult ship,,
Omaha,CL,,
Marcílio Dias,DD,,
Marcilio Dias,DD,,
Cannon,DE,,
La Galissonniere,CL,,
Marshal Ney,BM,,
Marsuinul,SS,,
Colorado,BB,,
Evarts,DE,,
South Dakota,BB,,
Maunder,Special Service Ship,,
Fiji,CL,,
Gridley,DD,,
Maxim Gorkiy (Project 26 bis),CA,,
Takao,CA,,
Porter,DD,,
Medway,submarine tender,,
Hunt,DE,,
Fletcher,DD,,
Cleveland,CL,,
Michel,MC,,
Mogami,CA,,
Minas Geraes,dreadnought,,
Asashio,DD,,
New Orleans,CA,,
Buenos Aires,DD,,
Maracaibo,LST,,
New Mexico,BB,,
Iowa,BB,,
Monowai,armed merchant cruiser,,
Montclare,submarine tender,,
Admiralty,flotilla leader,,
Körös,river monitor,,
Rivadavia,dreadnought,,
Sims,DD,,
Raubvogel,torpedo boat,,
Bagley,DD,,
Shiratsuyu,DD,,
Yamato,BB,,
Nagato,dreadnought,,
Montecuccoli,CL,,
V,DD,,
Myōkō,CA,,
Type 1934,DD,,
Type 1934A,DD,,
Type 1936,DD,,
Type 1936A,DD,,
Type 1936A Mob,DD,,
Type 1936B,DD,,
Z,DD,,
Zara,CA,,
Zuihō,CV,,
Shōkaku,CV,,
Archimede,SS,,
X,SS,,
Xanthus,repair ship,,
XE,SS,,
Artemis,attack cargo ship,,
XT,training submarine,,
Atlanta,CL,,
O,minelayer destroyer,,
Odin,SS,,
Colossus,CV,,
O,DD,,
Kuma,CL,,
Okinoshima,CM,,
Nevada,BB,,
Gangut,BB,,
Oldenburg,CM,,
Minotaur,CL,,
Serrano,DD,,
Orion,MC,,
Orzeł,SS,,
Oscar II,coastal defence ship,,
C,DD,,
Bourrasque,DD,,
Ōyodo,CL,,
Ruler,CVE,,
Nagara,CL,,
Nairana,CVE,,
Najaden,torpedo boat,,
Sendai,CL,,
N,DD,,
Black Swan,SL,,
Brooklyn,CL,,
Bogue,CVE,,
Akizuki,DD,,
Nelson,BB,,
New York,BB,,
Niedersachsen,CM,,
Niels Juel,coastal defence ship,,
Ning Hai,CL,,
Holland,anti-aircraft cruiser,,
Holland,C,,
Eidsvold,coastal defence ship,,
North Carolina,BB,,
Agano,CL,,
Nürnberg,CL,,
Tordenskjold,coastal defence ship,,
Novik,DD,,
Yakumo,armored cruiser,,
Fusō,dreadnought,,
Yorktown,CV,,
Yubari,CL,,
Kagero,DD,,
BYMS,AM,,
J,DD,,
Tromp,C,,
Java,C,,
Courbet,dreadnought,,
Jeanne d'Arc,CL,,
Armed Merchant Cruiser,,,
Johan Maurits van Nassau,GB,,
Somers,DD,,
Churruca,DD,,
Catamarca,DD,,
Hiyō,CV,,
Kaga,CV,,
Furutaka,CA,,
Kaiyō,CV,,
K,DD,,
K,CL,,
Katori,CL,,
Unryū,CV,,
B,DD,,
W,DD,,
Mississippi,BB,,
King George V,BB,,
Aoba,CA,,
Kongō,battlecruiser,,
Kirov (Project 26),CA,,
Komet,MC,,
Kormoran,MC,,
Admiralen,DD,,
Kountouriotis,DD,,
Krasnoye Znamya,GB,,
Kraznyi Kavkaz,C,,
Krasnyi Krym,C,,
Commencement Bay,CVE,,
Type J1,cruiser submarine,,
Type J1 Modified,submarine aircraft carrier,,
Type J2,submarine aircraft carrier,,
Type J3,submarine aircraft carrier,,
Type A1,submarine aircraft carrier,,
Type A2,SS,,
Type A3,submarine aircraft carrier,,
Type B1,submarine aircraft carrier,,
Type C1,midget submarine-carrying submarine,,
Type B2,SS,,
Type C2,SS,,
Type C3,transport submarine,,
Type C3,SS,,
Type B3,submarine aircraft carrier,,
KD3 type,cruiser submarine,,
KD4 type,cruiser submarine,,
KD6 type,cruiser submarine,,
Kiraisen type,minelayer submarine,,
KD2 type,training submarine,,
KD3A type,SS,,
KD3B type,SS,,
KD4 type,SS,,
KD5 type,SS,,
KD7 type,cruiser submarine,,
Sentaka type,SS,,
Senho type,submarine tanker,,
Type D1,transport submarine/kaiten carrier,,
Type D1,transport submarine,,
Type D2,transport/tanker submarine,,
Sentoku type,submarine aircraft carrier,,
Sentoku type,submarine tanker,,
Type IXD2,SS,,
Marcello-class,SS,,
Marconi-class,SS,,
Type X,minelayer submarine,,
Type IXD1,SS,,
I,minelayer destroyer,,
Illustrious,CV,,
Väinämöinen,coastal defence ship,,
Implacable,CV,,
Portland,CA,,
Grimsby,SL,,
Ingolf,PB,,
Investigator,survey ship,,
Irene Forsyte,Q-ship,,
Gerard Callenburgh,DD,,
Ise,dreadnought,,
Izumo,armored cruiser,,
H,SS,,
Ha-101,transport submarine,,
Ha-201,SS,,
Myoko,CA,,
Hai Chao,SL,,
gunship,,,
Hai Chi,C,,
Hai Yung,protected cruiser,,
Hansa,MC,,
Gato,SS,,
H,DD,,
Havant,DD,,
Hekla,light cruiser hulk,,
St. Louis,CL,,
Hermes,CV,,
Folkestone,SL,,
Sōryū,CV,,
modified Leander,CL,,
Admiral,battlecruiser,,
Hōshō,CV,,
Huáscar,ironclad,,
Humaytá,SS,,
Hvidbjørnen,PB,,
Ise,BB,,
Eagle,CV,,
E,DD,,
Edgehill,Special Service Ship,,
Town,CL,,
Hawkins,CA,,
El Amir Farouq,patrol vessel,,
Mount McKinley,amphibious command ship,,
Chao Ho,protected cruiser,,
Duca d'Aosta,CL,,
Emden,CL,,
Emerald,CL,,
Émile Bertin,CL,,
Empire,merchant aircraft carrier,,
Buckley,DE,,
Erebus,BM,,
Eritrea,SL,,
York,CA,,
Explorer,survey ship,,
R,DD,,
Rainbow,SS,,
Rajputana,armed merchant cruiser,,
Ramb I,Armed merchant cruiser,,
Ramb II,Armed merchant cruiser,,
Ramb III,Armed merchant cruiser,,
Revenge,BB,,
Wickes,minelayer destroyer,,
Ranger,CV,,
Rawalpindi,Armed merchant cruiser,,
Gnevny,DD,,
Rechinul,SS,,
Renown,battlecruiser,,
Clemson,DD,,
Richelieu,BB,,
Bahia,CL,,
Kaichū V type,training submarine,,
Kaichū VI type,SS,,
Kaichū VII type,SS,,
Type L3,training submarine,,
Type L4,SS,,
Ko type,coastal submarine,,
Type IXC,SS,,
Type IXC/40,SS,,
Roberts,BM,,
Rosario,GB,,
Ryūhō,CVL,,
Ryūjō,CVL,,
S,SS,,
A,DD,,
Matsu,DD,,
Pensacola,CA,,
Butler,DE,,
San Giorgio,CA,,
Sangamon,CVE,,
Minas Geraes,BB,,
S,DD,,
Temes,river monitor,,
Scharnhorst,BB,,
Deutschland,BB,,
Capitani Romani,light cruiser (also known as exploratori oceanici),,
Dido,anti-aircraft cruiser,,
Enlarged Admiral Hipper,CA,,
Shinano,CV,,
Shin'yō,CV,,
Sirène,SS,,
Skagerak,CM,,
Flores,GB,,
De Zeven Provinciën,coastal defence ship,,
Anchusa,SL,,
Cannon,DD,,
Southampton,CL,,
Thonburi,coastal defence ship,,
Attacker,CVE,,
Stier,MC,,
Dunkerque,BB,,
Suffren,CA,,
Java,CL,,
Sverige,coastal defence ship,,
Edsall,DE,,
Rudderow,DE,,
Danae,C,,
D,DD,,
Allen M. Sumner,DD,,
John C. Butler,DE,,
Gearing,DD,,
Wickes,DD,,
De Ruyter,C,,
Deutschland,CA,,
County,C,,
Admiralty,destroyer flotilla leader,,
Drache,CM,,
Enns,river monitor,,
Drazki,torpedo boat,,
Dristigheten,seaplane carrier,,
Dubrovnik,DD,,
Andrea Doria,BB,,
Shoreham,SL,,
Dunvegan Castle,Armed merchant cruiser,,
Duquesne,CA,,
Fidelity,Special Service Ship,,
F,DD,,
Fridtjof Nansen,patrol ship,,
Fu An,GB,,
Fubuki,DD,,
Yūgumo,DD,,
Mutsuki,DD,,
Glorious,CV,,
Q,DD,,
P,DD,,
Parthian,SS,,
P,SL,,
Patia,fighter catapult ship,,
Patria,GB,,
Patroclus,armed merchant cruiser,,
Herluf Trolle,coastal defence ship,,
Pennsylvania,BB,,
Colossus,aircraft maintenance carrier,,
Admiral Hipper,CA,,
Ping Hai,CL,,
Pinguin,Auxiliary cruiser,,
Pluton,minelayer light cruiser,,
Pretoria Castle,armed merchant cruiser,,
Prince David,armed merchant cruiser,,
Prince Henry,armed merchant cruiser,,
Prince Robert,armed merchant cruiser,,
Prins van Oranje,CM,,
Prunella,Special Service Ship,,
G,DD,,
Giuseppe Garibaldi,armored cruiser,,
Pisa,armored cruiser,,
Giussano,CL,,
Conte di Cavour,dreadnought,,
Duca degli Abruzzi,CL,,
Giuseppe Miraglia,seaplane tender,,
Graf Zeppelin,CV,,
Type VIIC,SS,,
U,DD,,
Grom,DD,,
Gryf,CM,,
Alaska,"battlecruiser (""large cruiser"")",,
Type 37,torpedo boat,,
Taihō,CV,,
Taiyō,CVE,,
Tannenberg,CM,,
Magdeburg,CL,,
Tarmo,escort and icebreaker,,
Tenryu,CL,,
T,DD,,
Tennessee,BB,,
Tenryū,CL,,
Thor,MC,,
Bismarck,BB,,
Togo,Night fighter direction vessel,,
Asama,armored cruiser,,
Tone,CA,,
Transylvania,armed merchant cruiser,,
Trento,CA,,
Tromp,light cruiser/flotilla leader,,
Tsingtau,Supply escort and Schnellboot tender,,
Fu An,gunship,,
Castle-class corvette,K,,
Grampus,SS,,
C,CL,,
Antioquia,DD,,
Capitan O'Brien,SS,,
Captor,Q-ship,,
Carinthia,Armed Merchant Cruiser,,
Gleaves,DE,,
Cervantes,DD,,
Presidente Errazuriz,protected cruiser,,
Clemson,DAM,,
Chao Ho,C,,
Avenger,CVE,,
P,Special Service ship,,
Svetlana,CL,,
Chitose,CVL,,
Clive,SL,,
River,SS,,
A,destroyer leader,,
D,CL,,
Cornwallis,SL,,
Coronel,MC,,
Cuba,SL,,
C-class light cruiser,,,
U,SS,,
Cyprus,Special Service Ship,,
Bahia-class light cruiser,,,
Baltimore-class heavy cruiser,,,
Admiralen class,DD,,
Gato-class submarine,,,
CL,,,
Giussano-class light cruiser,,,
Béarn,CV,,
Town-class cruiser,,,
Fiji-class cruiser,,,
Big Horn,Q-ship,,
Cleveland-class light cruiser,,,
Southampton-class light cruiser,,,
Dido-class light cruiser,,,
C,,,
Admiral Hipper-class heavy cruiser,,,
Brooklyn-class light cruiser,,,
Trento class heavy cruiser,,,
Boxer,LST,,
Brandenburg,CM,,
Brummer,CM,,
Brutus,Special Service Ship,,
Haskell class attack transport,,,
Wicher,DD,,
Type IA,SS,,
Type IX,SS,,
Type IXB,SS,,
Type IXD,SS,,
Type XIV,"submarine tender (""Milchkuh"")",,
Type XXI,"submarine (""Elektroboot"")",,
H,training submarine,,
Crown Colony,CL,,
Unicorn,aircraft maintenance carrier,,
Utah,radio controlled target-ship and anti-aircraft training ship,,
Somers,destroyer leader,,
Wasp (I),CV,,
Wichita,CA,,
Widder,MC,,
Willem van der Zaan,CM,,
Admiralty W,DD,,
Robert H. Smith,minelayer destroyer,,
Birmingham,CL,,
Deutschland,C,,
Adventure,minelayer cruiser,,
Amagi,CV,,
Albatross,seaplane carrier,,
1923 Raubvogel-class torpedo boat,,,
Alcantara,Armed merchant cruiser,,
Algérie,CA,,
Veinticinco de Mayo,CA,,
Almirante Lynch,DD,,
Almirante Latorre,BB,,
prototype,DD,,
Amiral Murgescu,CM,,
Anacapa,Q-ship,,
Guadiana,DD,,
Antoine,Special Service Ship,,
Aquila,CV,,
Arcona,Floating anti-aircraft battery,,
Argus,CV,,
Ariguani,fighter catapult ship,,
Wyoming,BB,,
Ark Royal,CV,,
Asterion,Q-ship,,
Atik,Q-ship,,
Atlantis,MC,,
Capitani Romani,CL,,
Aurora,C,,
V7,river gunboat,,
Project 1125,river gunboat,,
Van Kinsbergen,SL,,
Vedenia,motor torpedo boat,,
Sava,river monitor,,
Vosper,motor torpedo boat,,
Hawkins,repair ship,,
Kirov,CA,,
Eagle,CV,22600,ENG
E,DD,1405,Royal Navy  Hellenic Navy
Edgehill,Special Service Ship,4702,ENG
Town,CL,11500,ENG
Hawkins,CA,9750,ENG
Eidsvold,coastal defence ship,4233,Royal Norwegian Navy
El Amir Farouq,patrol vessel,1441,Egyptian Navy
Mount McKinley,amphibious command ship,7350,USA
Chao Ho,protected cruiser,2115,Hellenic Navy
Duca d'Aosta,CL,8450,Regia Marina
Emden,CL,5600,GER
Emerald,CL,7580,ENG
Émile Bertin,CL,5886,French Navy  Free French Naval Forces
Empire,merchant aircraft carrier,14250,ENG
Empire,merchant aircraft carrier,11000,ENG
Empire,merchant aircraft carrier,8000,ENG
Empire,merchant aircraft carrier,9000,ENG
Ruler,CVE,7800,ENG
Buckley,DE,1400,USA
Yorktown,CV,25100,USA
Erebus,BM,8000,ENG
Eritrea,SL,2200,Regia Marina
Hunt,DE,1050,Royal Norwegian Navy
Duca d'Aosta,CL,8750,Regia Marina
Admiralen,DD,1337,Netherlands
York,CA,8390,ENG
Explorer,survey ship,1800,United States Coast and Geodetic Survey
E,DD,1405,Royal Navy  Royal Canadian Navy
R,DD,1705.0,ENG
Montecuccoli,CL,3184.0,Regia Marina
Rainbow,SS,2060.0,ENG
Ruler,CVE,11400.0,ENG
Rajputana,armed merchant cruiser,16568.0,ENG
Bagley,DD,1500.0,USA
Ramb I,Armed merchant cruiser,3667.0,Regia Marina
Ramb II,Armed merchant cruiser,3667.0,Regia Marina
Ramb III,Armed merchant cruiser,3667.0,Regia Marina
