Class,Type,Displacement,Country,First commissioned,YEAR
Prunella,Special Service Ship,4443,ENG,,
Hunt,DD,1000,ENG,,
Ruler,CVE,11400,Royal Navy  Royal Canadian Navy,5 February 1944,1944
Attacker,CVE,11400,ENG,14 June 1943,1943
Rapana,merchant aircraft carrier,8000,Netherlands,1944,1944
G,DD,1335,ENG,25 February 1936,1936
Fiji,CL,8000,Royal Navy  Royal New Zealand Navy,21 February 1942,1942
Wickes,minelayer destroyer,1090,USA,29 November 1918,1918
G,DD,1335,Royal Navy  Polish Navy,3 March 1936,1936
Gato,SS,"1,525 surfaced",USA,31 December 1941,1941
Giuseppe Garibaldi,armored cruiser,6100,Argentine Navy,c.1896,1896
Giuseppe Garibaldi,armored cruiser,6100,Argentine Navy,1897,1897
La Galissonnière,CL,7600,French Navy  Free French Naval Forces,15 November 1937,1937
Town,DD,1200,Royal Navy  Royal Canadian Navy  Soviet Navy,23 September 1940,1940
Pisa,armored cruiser,9450,Hellenic Navy,16 May 1911,1911
Giussano,CL,5200,Regia Marina,10 February 1932,1932
G,DD,1350,ENG,22 February 1936,1936
Conte di Cavour,dreadnought,26140,Regia Marina,10 May 1914,1914
Duca degli Abruzzi,CL,9195,Regia Marina,1937,1937
Giuseppe Miraglia,seaplane tender,4965,Regia Marina,1927,1927
Glorious,CV,22500,ENG,20 April 1916,1916
Colossus,CV,13200,ENG,2 April 1945,1945
Town,CL,9400,ENG,31 January 1939,1939
Scharnhorst,BB,32000,GER,21 May 1938,1938
Loch,FF,1435,South African Navy,1 December 1944,1944
Captain,FF,1150,ENG,4 October 1943,1943
Zara,CA,11900,Regia Marina,1931,1931
Graf Zeppelin,CV,23200,GER,,
Type VIIC,SS,769,Kriegsmarine  Royal Navy,launched 15 April 1941,1941
U,DD,1777,ENG,27 May 1943,1943
Gridley,DD,1590,USA,24 June 1937,1937
G,DD,1350,Royal Navy  Royal Canadian Navy,6 June 1936,1936
Grom,DD,1975,Polish Navy,11 May 1937,1937
Gryf,CM,2085,Polish Navy,27 February 1938,1938
Alaska,"battlecruiser (""large cruiser"")",27500,USA,17 September 1944,1944
Sverige,coastal defence ship,7125,Swedish Navy,12 December 1922,1922
Type 37,torpedo boat,1098,GER,31 May 1941,1941
Type 37,torpedo boat,1098,GER,5 June 1942,1942
Taihō,CV,29300,JPN,7 March 1944,1944
Taiyō,CVE,18116,JPN,2 September 1941,1941
Takao,CA,13160,JPN,31 May 1932,1932
Flower,K,925,Royal Navy  Hellenic Navy,November 1943,1943
Tannenberg,CM,1098,GER,2 September 1939,1939
Äran,coastal defence ship,3650,Swedish Navy,April 1903,1903
Magdeburg,CL,3184,Regia Marina,1925,1925
Tarmo,escort and icebreaker,2300,Finland,4 January 1908,1908
Tenryu,CL,4350,JPN,31 May 1919,1919
Wickes,DD,1060,USA,26 June 1919,1919
T,DD,1710,ENG,13 September 1943,1943
Tennessee,BB,33190,USA,3 June 1920,1920
Tenryū,CL,4350,JPN,20 November 1919,1919
T,DD,1710,ENG,20 January 1944,1944
Akizuki,DD,2700,JPN,11 June 1942,1942
River,FF,1370,Royal Navy  South African Navy,30 January 1943,1943
Thonburi,coastal defence ship,2265,Royal Thai Navy,31 January 1938,1938
Thor,MC,9200,GER,15 March 1940,1940
Bismarck,BB,42900,GER,25 February 1941,1941
N,DD,1760,Royal Netherlands Navy,27 May 1942,1942
Togo,Night fighter direction vessel,12700,GER,13 August 1938,1938
Asama,armored cruiser,9700,JPN,18 May 1899,1899
Tone,CA,15200,JPN,30 November 1938,1938
Transylvania,armed merchant cruiser,16923,ENG,5 October 1939,1939
Trento,CA,10511,Regia Marina,1929,1929
Trento,CA,10511,Regia Marina,1928,1928
Tromp,light cruiser/flotilla leader,3455,Royal Netherlands Navy,18 August 1938,1938
Atlanta,CL,6000,USA,3 February 1945,1945
Tsingtau,Supply escort and Schnellboot tender,2490,GER,24 September 1934,1934
Fu An,gunship,1900,Republic of China Navy,1895,1895
Castle-class corvette,K,1010,Royal Norwegian Navy,17 April 1944,1944
Grampus,SS,1810,ENG,15 August 1938,1938
C,DD,1710,ENG,5 October 1944,1944
C,CL,4200,ENG,24 September 1919,1919
Edsall,DE,1250,USA,17 November 1943,1943
Antioquia,DD,1219,Colombian National Navy,16 May 1934,1934
C,CL,4180,ENG,6 March 1917,1917
Tennessee,BB,32600,USA,10 August 1921,1921
Nairana,CVE,13000,ENG,9 February 1944,1944
County,CA,9850,Royal Australian Navy,10 July 1928,1928
Baltimore,CA,17200,USA,14 October 1943,1943
Cannon,DE,1240,United States Navy  Brazilian Navy,26 September 1943,1943
Casablanca,CVE,10400,USA,9 April 1944,1944
C,CL,4200,ENG,10 April 1922,1922
Capitan O'Brien,SS,2020,CHL,1929,1929
Captor,Q-ship,319,USA,5 March 1942,1942
Bogue,CVE,9800,USA,8 November 1942,1942
C,CL,4290,ENG,25 June 1917,1917
Carinthia,Armed Merchant Cruiser,20277,ENG,August 1939,1939
C,CL,4200,ENG,11 November 1918,1918
Gleaves,DE,1630,USA,28 December 1942,1942
Flower,K,925,Royal Navy  Royal Netherlands Navy,22 February 1941[6],1941
Cannon,DE,1240,USA,24 October 1943,1943
Cannon,DE,1240,USA,3 May 1944,1944
C,DD,1710,ENG,20 February 1945,1945
Catamarca,DD,1010,Argentine Navy,ca.1912,1912
Gato,SS,"1,525 surfaced",USA,29 February 1944,1944
Tribal,DD,1850,Royal Canadian Navy,20 October 1947,1947
Butler,DE,1350,USA,16 October 1944,1944
Cervantes,DD,1522,Argentine Navy,3 September 1927,1927
Presidente Errazuriz,protected cruiser,4500,CHL,1902,1902
Clemson,DAM,1200,USA,5 September 1919,1919
Chao Ho,C,2750,Republic of China Navy,23 October 1911,1911
Avenger,CVE,8200,USA,3 March 1942,1942
Flower modified,K,1015,Royal Navy  Royal Indian Navy,March 1944,1944
Flower modified,K,1015,Royal Canadian Navy,13 December 1941,1941
Avenger,CVE,11400,ENG,9 April 1943,1943
P,Special Service ship,610,ENG,1918,1918
Town,DD,1190,Royal Navy  Royal Canadian Navy  Soviet Navy,9 September 1940,1940
Sangamon,CVE,11400,USA,20 June 1941,1941
Svetlana,CL,7600,Soviet Navy,3 October 1913,1913
Wickes,DD,1190,USA,12 December 1918,1918
C,DD,1710,ENG,7 March 1946,1946
Tone,CA,15200,JPN,30 May 1939,1939
Chitose,CVL,11190,JPN,25 July 1938,1938
Town,DD,1190,Royal Navy  Soviet Navy,9 September 1940,1940
Takao,CA,15781,JPN,1932,1932
Taiyō,CVE,18116,JPN,25 November 1942,1942
Clemson,DD,1250,USA,29 December 1919,1919
Cleveland,CL,10000,USA,15 June 1942,1942
Clive,SL,2083,Royal Indian Navy,20 April 1920,1920
River,SS,2206,ENG,1935,1935
C,DD,1885,ENG,29 September 1945,1945
A,destroyer leader,1350,ENG,4 June 1930,1930
Wickes,DD,1190,USA,19 June 1919,1919
Wickes,DD,1060,USA,13 June 1918,1918
Fletcher,DD,2050,USA,8 July 1944,1944
Colossus,CV,13200,ENG,16 December 1944,1944
Town,DD,1060,Royal Canadian Navy,24 September 1940,1940
Hunt,DE,1050,Free French Naval Forces,30 December 1942,1942
Flower,K,925,Free French Naval Forces,23 May 1942,1942
Commencement Bay,CVE,11373,USA,27 November 1944,1944
D,CL,4850,Royal Navy  Polish Navy,4 October 1944,1944
Conte di Cavour,dreadnought,26140,Regia Marina,1915,1915
Casablanca,CVE,9600,USA,27 August 1943,1943
Cornwallis,SL,1290,Royal Indian Navy,1921,1921
Coronel,MC,12700,GER,13 August 1938,1938
Casablanca,CVE,10400,USA,31 August 1943,1943
Courbet,dreadnought,23200,French Navy  Free French Naval Forces,November 1913,1913
C,CL,4290,ENG,21 February 1918,1918
C,DD,1900,Royal Canadian Navy,21 August 1945,1945
Bogue,CVE,9800,USA,28 April 1943,1943
Butler,DE,1350,USA,8 January 1945,1945
Cuba,SL,2055,Cuba,c.1911,1911
C-class light cruiser,,4290,ENG,18 February 1918,1918
U,SS,540,Royal Navy  Free French Naval Forces,2 May 1943,1943
Cyprus,Special Service Ship,4398,ENG,,
Wickes,DD,1190.0,USA,24 October 1919,1919
Maracaibo,LST,4193.0,ENG,August 1941,1941
Fletcher,DD,2050.0,USA,14 November 1942,1942
Hunt,DE,1050.0,Royal Navy  Royal Norwegian Navy,18 August 1941,1941
Bahia-class light cruiser,,3100.0,Brazilian Navy,1910,1910
Benson,DD,1620.0,USA,11 May 1942,1942
Clemson,DD,1200.0,USA,9 February 1921,1921
Commencement Bay,CVE,10200.0,USA,16 July 1945,1945
Cannon,DE,1240.0,USA,23 December 1943,1943
Porter,DD,1850.0,USA,20 October 1936,1936
Gleaves,DD,1630.0,USA,30 April 1943,1943
Baltimore-class heavy cruiser,,17200.0,USA,15 April 1943,1943
Admiralen class,DD,1337.0,Royal Netherlands Navy,14 November 1930,1930
Gato-class submarine,,2460.0,USA,2 April 1942,1942
Buckley,DE,1400.0,USA,10 October 1943,1943
Queen Elizabeth,BB,31000.0,ENG,19 August 1915,1915
CL,,3284.0,Regia Marina,1925,1925
Battle,DD,2325.0,ENG,14 September 1944,1944
Clemson,DD,1200.0,USA,17 December 1919,1919
Bogue,CVE,11400.0,USA,20 February 1943,1943
Basset,AM,529.0,Royal Indian Navy,December 1942,1942
Buckley,DE,1400.0,USA,16 February 1944,1944
Giussano-class light cruiser,,5200.0,Regia Marina,10 February 1932,1932
Sumner,DD,2200.0,USA,30 December 1943,1943
B,DD,1350.0,ENG,4 March 1931,1931
Tribal,DD,2020.0,Royal Australian Navy,25 May 1945,1945
Independence,CVL,11000.0,USA,17 November 1943,1943
Town,DD,1190.0,Royal Navy  Royal Norwegian Navy,23 September 1940,1940
Attacker,CVE,10000.0,ENG,31 October 1942,1942
Cannon,DE,1240.0,United States  Brazilian Navy,11 October 1943,1943
Béarn,CV,22150.0,French Navy  Free French Naval Forces,May 1927,1927
Fletcher,DD,2050.0,USA,12 April 1944,1944
Sumner,DD,2200.0,USA,31 March 1945,1945
Hunt,DE,1000.0,ENG,3 November 1941,1941
Flower modified,K,1015.0,Royal Canadian Navy,25 September 1944,1944
Evarts,DE,1140.0,USA,15 May 1943,1943
Tribal,DD,2020.0,ENG,15 March 1939,1939
Flower,K,925.0,Royal Navy  United States Navy,3 March 1941,1941
Ruler,CVE,11400.0,ENG,2 August 1943,1943
Town-class cruiser,,11553.0,ENG,5 August 1939,1939
Fletcher,DD,2050.0,USA,4 March 1943,1943
Town,DD,1200.0,ENG,8 October 1940,1940
Hunt,DE,1050.0,ENG,29 March 1942,1942
Bathurst,K,1025.0,Royal Indian Navy,8 August 1942,1942
Gearing,DD,2250.0,USA,13 February 1945,1945
Essex,CV,30800.0,USA,6 August 1944,1944
Benson,DD,1620.0,USA,25 July 1940,1940
Hunt,DE,1000.0,ENG,6 June 1940,1940
Fiji-class cruiser,,8000.0,ENG,21 August 1942,1942
Flower modified,K,1015.0,Royal Navy  Royal Indian Navy,31 August 1943,1943
Shoreham,SL,1105.0,ENG,23 February 1932,1932
Big Horn,Q-ship,,USA,15 April 1942,1942
Cleveland-class light cruiser,,11800.0,USA,31 August 1943,1943
Southampton-class light cruiser,,9770.0,ENG,18 November 1937,1937
Bismarck,BB,41700.0,GER,24 August 1940,1940
Attacker,CVE,8200.0,ENG,5 May 1942,1942
Flower,K,925.0,Royal Navy  Royal Canadian Navy,23 January 1941,1941
Butler,DE,1350.0,USA,31 October 1944,1944
Dido-class light cruiser,,5950.0,ENG,30 November 1943,1943
Edsall,DE,1250.0,USA,13 September 1943,1943
C,,3435.0,CHL,1893,1893
Hunt,DE,1050.0,ENG,11 April 1941,1941
Hunt,DE,1050.0,ENG,14 December 1940,1940
Bogue,CVE,9800.0,USA,8 March 1943,1943
Commencement Bay,CVE,14400.0,USA,30 December 1944,1944
Admiral Hipper-class heavy cruiser,,14000.0,GER,20 September 1939,1939
Sumner,DD,2200.0,USA,20 March 1944,1944
Grom,DD,1975.0,Poland,25 November 1937,1937
Wickes,DAM,1190.0,USA,23 September 1918,1918
Bogue,CVE,9800.0,USA,26 September 1942,1942
Brooklyn-class light cruiser,,9950.0,USA,12 August 1938,1938
Trento class heavy cruiser,,10511.0,Regia Marina,1933,1933
Flower,K,925.0,ENG,29 April 1942,1942
B,DD,1350.0,Royal Navy  Hellenic Navy,20 February 1931,1931
Boxer,LST,3620.0,ENG,10 April 1943,1943
Ticonderoga,CV,30800.0,USA,16 April 1945,1945
River,FF,1370.0,Royal Navy  Free French Naval Forces,21 January 1944,1944
Brandenburg,CM,3894.0,GER,1 May 1943,1943
Hunt,DE,1175.0,ENG,18 December 1942,1942
Wickes,minelayer destroyer,1190.0,USA,23 October 1918,1918
Baltimore-class heavy cruiser,,17200.0,USA,29 April 1945,1945
Bretagne,BB,22200.0,FRA,September 1915,1915
Bogue,CVE,7800.0,USA,12 April 1943,1943
Cannon,DE,1240.0,USA,30 June 1944,1944
Town,DD,1200.0,Royal Navy  Soviet Navy,23 September 1940,1940
Flower modified,K,1015.0,USA,6 December 1942,1942
Hunt,DE,1175.0,ENG,12 February 1943,1943
Gleaves,DD,1630.0,USA,22 October 1941,1941
Brooklyn-class light cruiser,,9950.0,USA,30 September 1937,1937
Brummer,CM,1924.0,GER,9 April 1940,1940
Brutus,Special Service Ship,5945.0,ENG,,
Haskell class attack transport,,536.0,USA,23 January 1945,1945
Buenos Aires,DD,1375.0,Argentine Navy,4 April 1938,1938
Essex,CV,30800.0,USA,24 May 1943,1943
Wicher,DD,1400.0,Poland,10 July 1932,1932
Town,DD,1215.0,Royal Navy  Royal Canadian Navy,8 October 1940,1940
Type IA,SS,982,GER,6 April 1936,1936
Type IX,SS,1152,GER,,
Type IXB,SS,1178,GER,,
Type IXC,SS,1232,GER,,
Type IXC/40,SS,1257,GER,,
Type IXC/40,SS,1257,Kriegsmarine  Royal Canadian Navy,24 September 1942,1942
Type IXC/40,SS,1257,Kriegsmarine  Royal Canadian Navy,4 August 1944,1944
Type IXD,SS,1799,GER,,
Type XIV,"submarine tender (""Milchkuh"")",1932,GER,,
Type XXI,"submarine (""Elektroboot"")",1819,GER,,
H,training submarine,441,GER,1915,1915
Crown Colony,CL,8800,Royal Navy  Royal Canadian Navy,21 October 1944,1944
U,DD,1777,ENG,3 March 1944,1944
Buckley,DE,1673,USA,15 November 1943,1943
Unicorn,aircraft maintenance carrier,16510,ENG,12 March 1943,1943
Taiyō,CVE,17830,JPN,31 August 1942,1942
Utah,radio controlled target-ship and anti-aircraft training ship,21825,USA,31 August 1911,1911
L,SS,,,11 October 1926,1926
Benson,DD,,,17 September 1940,1940
L,DD,,,19 December 1940,1940
Gleaves,DD,,,7 October 1940,1940
L,DD,,,30 January 1942,1942
Raubtier,torpedo boat,,,15 April 1929,1929
Gleaves,DD,,,5 March 1941,1941
Gleaves,DD,,,15 March 1943,1943
Omaha,CL,,,17 December 1925,1925
Hunt,DE,,,10 January 1943,1943
Tribal,DD,,,7 September 1938,1938
Sims,DD,,,15 September 1939,1939
Type 1934A,DD,,,8 January 1938,1938
Type 1934A,DD,,,4 March 1939,1939
Type 1936A,DD,,,11 January 1941,1941
Type 1936A Mob,DD,,,6 February 1943,1943
X,SS,,,1943,1943
X,SS,,,1944,1944
Odin,SS,,,14 June 1930,1930
O,DD,,,19 June 1942,1942
Nagato,dreadnought,,,25 November 1920,1920
N,DD,,,12 February 1941,1941
New Orleans,CA,,,12 April 1933,1933
Fiji,CL,,,23 September 1940,1940
Tribal,DD,,,9 August 1946,1946
Agano,CL,,,29 December 1943,1943
Nagara,CL,,,20 March 1923,1923
Black Swan,SL,,,13 May 1941,1941
Maxim Gorkiy (Project 26 bis),CA,,,6 December 1944,1944
Maxim Gorkiy (Project 26 bis),CA,,,31 December 1942,1942
Katori,CL,,,31 May 1940,1940
K,DD,,,21 February 1940,1940
Nagara,CL,,,10 November 1922,1922
K,CL,,,January 1930,1930
Kongō,battlecruiser,,,16 August 1913,1913
Mogami,CA,,,31 October 1931,1931
Type J1,cruiser submarine,,,24 December 1929,1929
Type J3,submarine aircraft carrier,,,5 December 1938,1938
Type A1,submarine aircraft carrier,,,16 May 1942,1942
Type A3,submarine aircraft carrier,,,14 March 1945,1945
Type B1,submarine aircraft carrier,,,24 January 1941,1941
Type C1,midget submarine-carrying submarine,,,31 January 1941,1941
Type B1,submarine aircraft carrier,,,24 February 1942,1942
Type B1,submarine aircraft carrier,,,10 March 1943,1943
Type B2,SS,,,31 January 1944,1944
Type C3,transport submarine,,,20 April 1944,1944
KD6 type,cruiser submarine,,,7 January 1937,1937
Kiraisen type,minelayer submarine,,,28 October 1928,1928
KD3B type,SS,,,15 May 1928,1928
KD3A type,SS,,,24 December 1929,1929
KD3B type,SS,,,31 March 1930,1930
KD6 type,cruiser submarine,,,31 July 1934,1934
KD6 type,cruiser submarine,,,15 August 1938,1938
KD7 type,cruiser submarine,,,18 June 1943,1943
Sentoku type,submarine aircraft carrier,,,8 January 1945,1945
I,minelayer destroyer,,,29 January 1938,1938
Izumo,armored cruiser,,,25 September 1900,1900
H,SS,,,21 February 1919,1919
H,SS,,,15 April 1920,1920
Ha-101,transport submarine,,,3 February 1945,1945
Hunt,DD,,,8 June 1940,1940
Ticonderoga,CV,,,15 April 1944,1944
Havant,DD,,,19 December 1939,1939
H,DD,,,16 January 1937,1937
Kongō,battlecruiser,,,1914,1914
Empire,merchant aircraft carrier,,,31 March 1944,1944
Essex,CV,,,31 December 1942,1942
R,DD,,,20 February 1943,1943
Rainbow,SS,,,11 November 1930,1930
Kaichū VI type,SS,,,31 May 1937,1937
Kaichū VII type,SS,,,11 January 1944,1944
Type L3,training submarine,,,20 March 1923,1923
Type L4,SS,,,9 February 1924,1924
Type L4,SS,,,30 April 1925,1925
Type L4,SS,,,30 June 1926,1926
Type L4,SS,,,28 July 1927,1927
Ko type,coastal submarine,,,25 February 1943,1943
Ko type,coastal submarine,,,21 January 1944,1944
Rainbow,SS,,,29 January 1931,1931
Battle,DD,,,27 September 1946[5],1946
Somers,DD,,,19 August 1938,1938
S,SS,,,8 February 1943,1943
S,SS,,,16 March 1934,1934
S,SS,,,12 March 1936,1936
Serrano,DD,,,1928,1928
Somers,DD,,,1 December 1937,1937
S,SS,,,6 April 1938,1938
Hunt,DD,,,18 March 1943,1943
S,SS,,,2 July 1937,1937
modified Leander,CL,,,24 September 1935,1935
Buckley,DE,,,29 June 1944,1944
Cleveland,CL,,,7 January 1945,1945
Clemson,DD,,,August 1922,1922
Danae,C,,,June 1919,1919
Rudderow,DE,,,31 December 1943,1943
Danae,C,,,2 June 1922,1922
Farragut,DD,,,14 October 1934,1934
D,DD,,,21 December 1932,1932
Mahan,DD,,,15 January 1937,1937
Dunkerque,BB,,,15 April 1937,1937
Danae,C,,,1 November 1921,1921
Atlanta,CL,,,31 August 1944,1944
Suffren,CA,,,15 August 1931,1931
Hawkins,CA,,,20 September 1924,1924
Akizuki,DD,,,30 April 1944,1944
Q,DD,,,7 January 1943,1943
Queen Elizabeth,BB,,,22 December 1914,1914
P,DD,,,December 1941,1941
Pensacola,CA,,,6 February 1930,1930
modified Leander,CL,,,29 June 1939 (former HMS Amphion),1939
Parthian,SS,,,3 February 1931,1931
Colossus,aircraft maintenance carrier,,,8 February 1945,1945
Baltimore,CA,,,10 October 1944,1944
King George V,BB,,,31 March 1941,1941
enlarged Admiral Hipper,CA,,,1 August 1940,1940
Giuseppe Garibaldi,armored cruiser,,,1897,1897
Scharnhorst,BB,,,21 May 1938,1938
Gridley,DD,,,24 June 1937,1937
Sverige,coastal defence ship,,,12 December 1922,1922
Type 37,torpedo boat,,,5 June 1942,1942
Flower,K,,,November 1943,1943
Äran,coastal defence ship,,,April 1903,1903
T,DD,,,20 January 1944,1944
Trento,CA,,,1928,1928
Atlanta,CL,,,3 February 1945,1945
C,CL,,,10 April 1922,1922
C,CL,,,11 November 1918,1918
Catamarca,DD,,,ca.1912,1912
Gato,SS,,,29 February 1944,1944
Flower modified,K,,,13 December 1941,1941
C,DD,,,7 March 1946,1946
Tone,CA,,,30 May 1939,1939
Fletcher,DD,,,8 July 1944,1944
Colossus,CV,,,16 December 1944,1944
Conte di Cavour,dreadnought,,,1915,1915
Butler,DE,,,8 January 1945,1945
Clemson,DD,,,9 February 1921,1921
Basset,AM,,,December 1942,1942
Sumner,DD,,,31 March 1945,1945
Baltimore-class heavy cruiser,,,,29 April 1945,1945
Brooklyn-class light cruiser,,,,30 September 1937,1937
U,DD,,,3 March 1944,1944
W,DD,,,14 April 1944,1944
Äran,coastal defence ship,,,1901,1901
Fletcher,DD,,,22 February 1945,1945
Porter,DD,,,17 February 1937,1937
Admiralen,DD,,,20 February 1930,1930
Serrano,DD,,,26 July 1929,1929
Almirante Lynch,DD,,,1913,1913
Essex,CV,,,28 January 1945,1945
Abdiel,CM,,,9 October 1943,1943
Abdiel,CM,,,12 February 1944,1944
Atlanta,CL,,,24 December 1941,1941
Vedenia,motor torpedo boat,,,1944,1944
V,DD,,,22 December 1942,1942
W,DD,1710,ENG,14 April 1944,1944
Colossus,CV,18300,ENG,2 April 1945,1945
Tribal,DD,2020,Royal Australian Navy,23 November 1942,1942
Somers,destroyer leader,1850,USA,9 February 1938,1938
Queen Elizabeth,BB,31000,ENG,8 March 1915,1915
Äran,coastal defence ship,3650,Swedish Navy,1901,1901
Wasp (I),CV,14700,USA,25 April 1940,1940
Colorado,BB,31500,USA,1 December 1923,1923
Wicher,DD,1400,Polish Navy,13 July 1930,1930
Wichita,CA,10000,USA,16 February 1939,1939
Widder,MC,16800,GER,30 November 1939,1939
Willem van der Zaan,CM,1407,Royal Netherlands Navy,21 August 1939,1939
Fletcher,DD,2050,USA,22 February 1945,1945
Porter,DD,1850,USA,17 February 1937,1937
Admiralen,DD,1337,Royal Netherlands Navy,20 February 1930,1930
Admiralty W,DD,1188,ENG,15 May 1918,1918
Robert H. Smith,minelayer destroyer,2200.0,USA,28 October 1944,1944
Abdiel,CM,2650.0,ENG,15 April 1941,1941
Roberts,BM,8536.0,ENG,5 May 1943,1943
John C. Butler,DE,1350.0,USA,1 May 1944,1944
Nagara,CL,5088.0,JPN,26 May 1925,1925
A,DD,1350.0,ENG,11 February 1930,1930
Rapana,merchant aircraft carrier,8010.0,ENG,October 1943,1943
A,DD,1350.0,ENG,13 October 1931,1931
Leander,CL,7270.0,Royal Navy Royal New Zealand Navy,6 October 1933,1933
Birmingham,CL,5550.0,Royal Australian Navy,5 August 1922,1922
Deutschland,C,12103.0,GER,6 January 1936,1936
Admiral Hipper,CA,14000.0,GER,25 April 1939,1939
Deutschland,C,12100.0,GER,12 November 1934,1934
Hunt,DE,1050.0,Hellenic Navy,5 August 1942,1942
Adventure,minelayer cruiser,6850.0,ENG,4 November 1916,1916
Rapana,merchant aircraft carrier,16000.0,ENG,February 1944,1944
Aetos,DD,1030.0,Hellenic Navy,19 October 1912,1912
Tribal,DD,2020.0,ENG,3 May 1938,1938
Agano,CL,6650.0,JPN,31 October 1942,1942
Hunt,DE,1050.0,ENG,,
Leander,CL,7220.0,ENG,3 June 1935,1935
Amagi,CV,36500.0,JPN,27 March 1927,1927
Akizuki,DD,2700.0,JPN,11 June 1942,1942
South Dakota,BB,35000.0,USA,16 August 1942,1942
Alaska,"battlecruiser (""large cruiser"")",27500.0,USA,17 June 1944,1944
Albatross,seaplane carrier,6350.0,ENG,29 September 1938,1938
1923 Raubvogel-class torpedo boat,,1290.0,GER,5 May 1927,1927
Condottieri,CL,5200.0,Regia Marina,9 June 1931,1931
Alcantara,Armed merchant cruiser,22181.0,ENG,1927,1927
Serrano,DD,1090.0,CHL,26 July 1929,1929
Clemson,DD,1250.0,USA,24 November 1919,1919
Allen M. Sumner,DD,2200.0,USA,23 November 1944,1944
Cannon,DE,1240.0,United States Navy  Brazilian Navy,12 November 1943,1943
Algérie,CA,10000.0,FRA,15 September 1934,1934
Cannon,DE,1240.0,Free French Naval Forces,23 January 1944,1944
V,DD,2700.0,Royal Canadian Navy,28 February 1944,1944
Veinticinco de Mayo,CA,6800.0,Argentine Navy,18 July 1931,1931
Almirante Lynch,DD,1430.0,CHL,January 1914,1914
Almirante Latorre,BB,28550.0,CHL,1 August 1920,1920
Almirante Lynch,DD,1430.0,CHL,1913,1913
Capitan O'Brien,SS,2020.0,CHL,1929,1929
Bogue,CVE,7900.0,USA,15 September 1942,1942
Unryū,CV,17150.0,JPN,10 August 1944,1944
prototype,DD,1350.0,ENG,5 May 1927,1927
prototype,DD,1173.0,ENG,15 March 1927,1927
Black Swan,SL,1350.0,ENG,2 November 1943,1943
Amiral Murgescu,CM,812.0,Romanian Naval Forces  Soviet Navy,14 June 1939,1939
Cleveland,CL,11800.0,USA,8 January 1945,1945
Anacapa,Q-ship,7500.0,USA,31 August 1942,1942
Andrea Doria,BB,25920.0,Regia Marina,13 March 1916,1916
Town,DD,1190.0,Royal Canadian Navy,24 September 1940,1940
King George V,BB,35000.0,ENG,22 June 1942,1942
Essex,CV,30800.0,USA,28 January 1945,1945
Guadiana,DD,1219.0,Colombian National Navy,,
Antoine,Special Service Ship,1030.0,ENG,,
Aoba,CA,5088.0,JPN,20 September 1927,1927
Abdiel,CM,2650.0,ENG,9 October 1943,1943
Aquila,CV,23500.0,Regia Marina,not completed,
Flower,K,925.0,Royal Navy  United States Navy,5 April 1940,1940
Flower modified,K,1015.0,Royal New Zealand Navy,16 March 1944,1944
Äran,coastal defence ship,3650.0,Swedish Navy,7 September 1902,1902
Avenger,CVE,8200.0,ENG,17 November 1941,1941
Arcona,Floating anti-aircraft battery,2657.0,GER,18 May 1901,1901
Argus,CV,14860.0,ENG,September 1918,1918
Abdiel,CM,2650.0,ENG,12 February 1944,1944
Ariguani,fighter catapult ship,,ENG,1940,1940
Pennsylvania,BB,32600.0,USA,17 October 1916,1916
Wyoming,BB,26100.0,USA,17 September 1912,1912
Ark Royal,CV,22000.0,ENG,16 December 1938,1938
Battle,DD,2325.0,ENG,2 July 1945,1945
Condottieri,CL,5316.0,Regia Marina,29 April 1933,1933
Flower,K,925.0,Royal Navy  Royal Canadian Navy,22 November 1940,1940
PB,,1640.0,Belgian Navy,,
Tribal,DD,2020.0,Royal Australian Navy,30 March 1942,1942
Myōkō,CA,13300.0,JPN,20 August 1929,1929
Flower modified,K,1015.0,Royal Indian Navy,19 February 1945,1945
C,DD,1390.0,Royal Canadian Navy,30 May 1932,1932
Asterion,Q-ship,6610.0,USA,March 1942,1942
New Orleans,CA,9950.0,USA,28 April 1934,1934
Takao,CA,14616.0,JPN,30 March 1932,1932
Tribal,DD,2020.0,Royal Canadian Navy,3 February 1943,1943
Atik,Q-ship,6610.0,USA,5 March 1942,1942
Atlanta,CL,6000.0,USA,24 December 1941,1941
Atlantis,MC,7862.0,GER,19 December 1939,1939
Attacker,CVE,11400.0,ENG,30 September 1942,1942
Capitani Romani,CL,3750.0,Regia Marina,August 1942,1942
Northampton,CA,9200.0,USA,30 January 1931,1931
Aurora,C,6731.0,Soviet Navy,29 July 1903,1903
County,CA,9850.0,Royal Australian Navy,24 April 1928,1928
Avenger,CVE,8200.0,ENG,2 March 1942,1942
Fubuki,DD,2090.0,JPN,30 April 1930,1930
Farragut,DD,1365.0,USA,1 March 1935,1935
V7,river gunboat,,Romanian Naval Forces,1943,1943
Project 1125,river gunboat,,Romanian Naval Forces,1943,1943
Väinämöinen,coastal defence ship,3900.0,Finnish Navy,29 April 1932,1932
Queen Elizabeth,BB,31000.0,ENG,13 January 1916,1916
Admiralen,DD,1680.0,Royal Netherlands Navy,20 February 1929,1929
N,DD,1801.0,Royal Netherlands Navy,20 February 1942,1942
Admiralen,DD,1680.0,Royal Netherlands Navy,31 May 1928,1928
