Class,Type,Displacement,Country,First commissioned,YEAR
Colorado,BB,32600,USA,21 July 1921,1921
Evarts,DE,1140,USA,20 March 1944,1944
South Dakota,BB,37970,USA,12 May 1942,1942
River,FF,1445,Royal Canadian Navy,22 October 1943,1943
Maunder,Special Service Ship,5072,ENG,1919,1919
Fiji,CL,8000,ENG,1 January 1941,1941
Gridley,DD,1590,USA,5 August 1938,1938
Maxim Gorkiy (Project 26 bis),CA,8200,Soviet Navy,25 October 1940,1940
Takao,CA,13350,JPN,30 June 1932,1932
Flower,K,925,Royal Navy  Royal Canadian Navy,28 November 1940,1940
Benson,DD,1500,USA,13 September 1939,1939
Gleaves,DD,1630,USA,15 March 1943,1943
Porter,DD,1850,USA,23 December 1936,1936
Medway,submarine tender,14650,ENG,July 1929,1929
Hunt,DE,1050,ENG,10 October 1942,1942
Fletcher,DD,2050,USA,24 November 1943,1943
Omaha,CL,7050,USA,17 December 1925,1925
Hunt,DE,1000,ENG,12 October 1940,1940
Mendoza,DD,1570,Argentine Navy,,
River,FF,1445,Royal Navy  Royal Canadian Navy,31 December 1943,1943
Hunt,DE,1050,ENG,10 December 1940,1940
Cleveland,CL,11800,USA,28 December 1943,1943
Hunt,DE,1050,Hellenic Navy,25 November 1942,1942
Michel,MC,10900,GER,7 September 1941,1941
Tribal,DD,1927,Royal Canadian Navy,18 September 1945,1945
Hunt,DE,1050,ENG,10 January 1943,1943
Flower modified,K,1015,USA,22 December 1942,1942
Mogami,CA,13440,JPN,29 August 1935,1935
M,DD,1935,ENG,6 August 1942,1942
Omaha,CL,7050,United States Navy  Soviet Navy,20 June 1923; to USSR as Murmansk 20 April 1944,1923
Flower,K,925,FRA,11 May 1941,1941
Minas Geraes,dreadnought,19200,Brazilian Navy,6 January 1910,1910
Asashio,DD,1961,JPN,,
New Orleans,CA,9950,USA,19 May 1934,1934
Rapana,merchant aircraft carrier,16000,ENG,January 1944,1944
Buenos Aires,DD,1375,Argentine Navy,,
Maracaibo,LST,4193,ENG,11 August 1941,1941
New Mexico,BB,32000,USA,25 January 1917,1917
Iowa,BB,45000,USA,11 June 1944,1944
Mogami,CA,12400,JPN,1935,1935
Tribal,DD,2020,ENG,7 September 1938,1938
River,FF,1445,Royal Navy  Royal Canadian Navy,11 May 1944,1944
Monowai,armed merchant cruiser,4925,Royal New Zealand Navy,30 August 1940,1940
Flower,K,925,Royal Norwegian Navy,29 September 1941,1941
La Galissonniere,CL,7600,French Navy  Free French Naval Forces,15 November 1937,1937
Montclare,submarine tender,21550,ENG,2 June 1942 (former AMC Montclare),1942
Town,DD,1247,Royal Navy  Royal Canadian Navy,23 October 1940,1940
Cleveland,CL,11800,USA,9 September 1942,1942
