Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Booth,USA,Cannon,DE,1240.0,19 September 1943,"to Philippines 1967, lost in typhoon 1981"
Borage,ENG,Flower,K,925.0,29 April 1942,
Bordelon,USA,Gearing,DD,2250.0,5 June 1945,to Iran 1977
Boreas,Royal Navy  Hellenic Navy,B,DD,1350.0,20 February 1931,"to Greece as Salamis 1944, scrapped 1951"
Borie (I),USA,Clemson,DD,1200.0,24 March 1920,sank 2 November 1943 after ramming and sinking U-405
Borie (II),USA,Sumner,DD,2200.0,21 September 1944,"to Argentina 1972, scrapped 1984"
Borum,USA,Buckley,DE,1400.0,30 November 1943,"decommissioned 1946, scrapped 1966"
Boston,USA,Baltimore-class heavy cruiser,,17200.0,30 June 1943,"decommissioned 1970, scrapped 1975"
Bostwick,USA,Cannon,DE,1240.0,1 December 1943,"to Republic of China 1948, scrapped 1972"
Bougainville,USA,Casablanca,CVE,7800.0,18 June 1944,"decommissioned 1946, scrapped 1960"
Bowers,USA,Buckley,DE,1400.0,27 January 1944,to Philippines 1961
Boxer,ENG,,LST,3620.0,10 April 1943,paid off 1958
Boxer,USA,Ticonderoga,CV,30800.0,16 April 1945,"decommissioned 1 December 1969, scrapped 1971"
Boyd,USA,Fletcher,DD,2050.0,8 May 1943,"to Turkey 1969, scrapped 1981"
Boyle,USA,Benson,DD,1620.0,15 August 1942,"decommissioned 1946, sunk as target 1973"
Brackett,USA,Evarts,DE,1140.0,18 October 1943,scrapped 1947
Bracui,United States  Brazilian Navy,Cannon,DE,1240.0,29 September 1943,"to Brazil 15 August 1944, paid off 11 July 1972"
Bradford,ENG,Town,DD,1200.0,8 October 1940,scrapped 1946
Bradford,USA,Fletcher,DD,2050.0,12 June 1943,"to Greece 1962, scrapped 1981"
Braid,Royal Navy  Free French Naval Forces,River,FF,1370.0,21 January 1944,"to Free French as Aventure 21 January 1944, paid off 1964"
Braine,USA,Fletcher,DD,2050.0,11 May 1943,"to Argentina 1971, sunk as target 1983"
Bramham,ENG,Hunt,DE,1050.0,16 June 1942,"paid off March 1943, scrapped 1960"
Brandenburg,GER,,CM,3894.0,1 May 1943,"captured French transport Kita, sunk 21 September 1943"
Brandon,Royal Canadian Navy,Flower,K,925.0,22 July 1941,paid off 22 June 1945
Brantford,Royal Canadian Navy,Flower,K,925.0,15 May 1942,paid off 17 August 1945
Brazen,ENG,B,DD,1350.0,8 April 1931,sunk 20 July 1940
Breckinridge,USA,Wickes,DD,1190.0,27 February 1919,scrapped 1946
Brecon,ENG,Hunt,DE,1175.0,18 December 1942,Paid off 12 December 1945
Breeman,USA,Cannon,DE,1240.0,12 December 1943,"to Republic of China 1948, scrapped 1972"
Breese,USA,Wickes,minelayer destroyer,1190.0,23 October 1918,scrapped May 1946
Bremerton,USA,Baltimore-class heavy cruiser,,17200.0,29 April 1945,"decommissioned 1960, scrapped 1974"
Brennan,USA,Evarts,DE,1140.0,20 January 1943,scrapped 1946
Bretagne,FRA,Bretagne,BB,22200.0,September 1915,sunk 3 July 1940
Breton,USA,Bogue,CVE,7800.0,12 April 1943,"decommissioned 1946, scrapped 1972"
