Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Arbutus (I),ENG,Flower,K,925.0,12 October 1940,sunk on 5 February 1942 by U-136[13]
Arbutus (II),Royal New Zealand Navy,Flower modified,K,1015.0,5 July 1944,paid off 1948
Archer,ENG,Avenger,CVE,8200.0,17 November 1941,"paid off 6 November 1943, scrapped 1962"
Arcona,GER,,Floating anti-aircraft battery,2657.0,18 May 1901,Scrapped 1948/1949
Ardent,ENG,A,DD,1350.0,14 April 1930,Sunk 8 June 1940[11]
Argus,ENG,,CV,14860.0,September 1918,Scrapped 1946
Ariadne,ENG,Abdiel,CM,2650.0,12 February 1944,Scrapped 1965
Ariguani,ENG,,fighter catapult ship,,1940,1943
Arizona,USA,Pennsylvania,BB,32600.0,17 October 1916,"Sunk 7 December 1941, war memorial"
Arkansas,USA,Wyoming,BB,26100.0,17 September 1912,Sunk 25 July 1946 in A-bomb test
Ark Royal,ENG,,CV,22000.0,16 December 1938,Sunk 14 November 1941
Armada,ENG,Battle,DD,2325.0,2 July 1945,"paid off 1960, scrapped 1965"
Armando Diaz,Regia Marina,Condottieri,CL,5316.0,29 April 1933,Sunk 25 February 1941
Armeria,ENG,Flower,K,925.0,28 March 1941,
Arrow,ENG,A,DD,1350.0,14 April 1930,"Irreparably damaged, 1944"
Arrowhead,Royal Navy  Royal Canadian Navy,Flower,K,925.0,22 November 1940,"to Canada 15 May 1941, paid off 27 June 1945"
Arteveld,Belgian Navy,PB,,1640.0,,Commissioned as Lorelei (Germany)
Arunta,Royal Australian Navy,Tribal,DD,2020.0,30 March 1942,Scrapped 1968
Arvida,Royal Canadian Navy,Flower,K,925.0,22 May 1941,paid off 14 June 1945
Asbestos,Royal Canadian Navy,Flower modified,K,1015.0,16 June 1944,8 July 1945
Ashanti,ENG,Tribal,DD,2020.0,21 December 1938,Scrapped 1949
Ashigara,JPN,Myōkō,CA,13300.0,20 August 1929,Sunk 8 June 1945
Asphodel,ENG,Flower,K,925.0,11 September 1940[13],sunk 10 March 1944 by U-575[14]
Assam,Royal Indian Navy,Flower modified,K,1015.0,19 February 1945,paid off 1947
Assiniboine,Royal Canadian Navy,C,DD,1390.0,30 May 1932,"transferred to RCN 19 October 1939, paid off 8 August 1945"
Aster,ENG,Flower,K,925.0,9 April 1941,
Asterion,USA,,Q-ship,6610.0,March 1942,transferred to Coast Guard 16 December 1943 converted to weather ship
Astoria (CA-34),USA,New Orleans,CA,9950.0,28 April 1934,Sunk 9 August 1942 Battle of Savo Island
Astoria (CL-90),USA,Cleveland,CL,11800.0,17 May 1944,Scrapped 1971
Atago,JPN,Takao,CA,14616.0,30 March 1932,Sunk 23 October 1944
Athabaskan,Royal Canadian Navy,Tribal,DD,2020.0,3 February 1943,Sunk 29 April 1944
Atheling,ENG,Ruler,CVE,7800.0,28 October 1943,"paid off 6 December 1946, scrapped 1967"
Atherstone,ENG,Hunt,DE,1000.0,23 March 1940,"paid off 23 September 1945, scrapped 1957"
Atherton,USA,Cannon,DE,1240.0,29 August 1943,"To Japan 1955, to Philippines 1976, active as of 2012"
Atholl,Royal Canadian Navy,Flower modified,K,1015.0,14 October 1943,17 July 1945
Atik,USA,,Q-ship,6610.0,5 March 1942,sunk 26 March 1942
